Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
0.8882127,0.47896343,-0.06998102,-0.5593573,0.6567067,6.6937733,10.726497,3.5894668,1.651008,-0.2025902,0.7225615,0.95844,-0.37721747,0.04452024,0.6029299,8.785312,0.5589993,1.5804818,0.45787317,0.5333282,Mudgee
-2.4595058,-0.15546884,0.4205466,-1.3132834,-0.6753901,-5.7860904,-10.512915,-0.44016963,-0.1979418,0.22787349,-0.53863907,-1.1479723,-0.005446523,1.0797184,-1.6281948,-5.3503175,0.39613935,-0.1406711,0.9404328,0.33322117,Mudgee Surrounds - East
-0.26620165,-0.63286716,-0.11356762,-1.6233952,-2.1818101,0.9395347,-0.31554118,0.3687853,-1.8296117,-0.2691808,-0.63778037,0.38194588,-0.43457374,-0.8921084,-0.4702889,0.9171948,-0.094207875,-0.3735011,-1.6787041,-0.6280086,Mudgee Surrounds - West
-3.6880488,-0.4940761,0.44396564,-2.3128757,-2.0100164,-9.6839485,-10.823472,-4.363863,-1.164083,0.11162353,-0.4861549,-0.33781737,-0.5152831,-0.22733594,-1.277331,-10.556998,1.0379461,0.4986032,-2.251149,2.257007,Wollangambe - Wollemi
-1.3522108,0.4336176,0.3177633,-1.2206087,-0.9749602,0.4305278,5.2526693,0.16530888,-0.4947774,-0.36985087,-0.29272798,-0.14542662,-0.036966726,0.19956787,1.2449933,6.241088,0.53951997,1.7949951,-0.33442956,0.57962126,Blayney
3.8492317,-0.6076441,1.0515563,0.7829485,2.4767878,2.3472798,4.787907,0.8942531,-0.034960203,0.3640239,0.64819515,-1.893415,-0.00304078,0.16146144,-1.9880103,4.8734856,0.72351617,-0.23743427,1.7804328,-0.22636083,Orange
2.1246238,-0.30845708,-1.204372,-0.55825573,0.47118035,4.962932,6.1510415,3.0218558,0.54098356,-0.39972624,0.3369414,-0.15460943,-0.5551146,-0.49193847,1.0503742,4.394625,-0.32936046,0.14457235,-0.8063425,-0.9565142,Orange - North
-0.33178806,0.31698397,-0.20897263,-0.23139648,-1.3089523,4.2856455,7.2710133,2.4411595,0.66508406,0.20202714,-0.5743139,-0.17672782,-0.13392362,-0.10867968,0.17077155,5.3987722,-0.14058533,-0.099214755,-0.21791188,-0.5522462,Orange Surrounds
7.873268,0.16134235,2.018074,0.06504818,0.8376048,7.046596,-5.9235163,3.748042,0.8340379,0.9883163,-1.1199751,-0.0590842,-0.44568273,1.4171404,-0.26897824,3.7003934,1.715392,0.92014176,3.06128,1.1202872,Grafton
0.9229283,0.7248068,0.12393341,-0.9310149,-2.7970355,2.3241642,3.337208,2.2874153,-0.6744968,-0.2461625,-1.1655245,0.12522642,0.67538357,-0.4556058,0.15991321,1.8218126,0.3073744,-0.4006896,-0.23405185,-0.36722898,Grafton Surrounds
