sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Belmont - Bennetts Green,NSW,1.9,0.1,0.0941478942213516,16,13.0,1002.0,108.0,-27.5147784,153.1268563
Dubbo - East,NSW,1.9,0.2,0.0001852194850898,13,41.0,975.0,308.0,-32.2538253,148.6218976
Meridan Plains - Little Mountain (North),QLD,1.9,0.7,3.312589618583309,22,8.0,1016.0,152.0,-26.7625195,153.0861881
Macquarie,ACT,1.9,0.4,0.3037190082644628,20,4.0,1031.0,12.0,-54.6318143,158.8617576
Mackay,QLD,1.9,0.1,0.224249558563861,17,20.0,907.0,0.0,-21.141956,149.1865149
Newtown (Qld),QLD,1.8,1.4,0.0386153096050706,9,222.0,891.0,192.0,-27.5649412,151.9332863
Ferntree Gully - North,VIC,1.8,1.0,0.0794087059872233,15,28.0,1014.0,196.0,-37.874643,145.29849
Maryborough Surrounds - South,QLD,1.8,3.8,0.8906439854191981,22,38.0,894.0,276.0,,
Wavell Heights,QLD,1.8,2.7,0.2741861531407611,21,28.0,1092.0,204.0,-27.3958794,153.048943
Cobram,VIC,1.8,-0.9,0.1483994432846207,19,30.0,910.0,212.0,-35.9197782,145.6484379
Kellyville Ridge - The Ponds,NSW,1.8,0.4,20.0,21,0.0,1102.0,24.0,-33.7025,150.9186111
The Oaks - Oakdale,NSW,1.8,1.5,0.3258757351061109,22,20.0,1054.0,136.0,-34.0780834,150.5134573
Durack,QLD,1.8,1.2,0.5201668984700973,20,19.0,905.0,40.0,-27.591662,152.985997
Moncrieff,ACT,1.8,2.5,20.0,11,1.0,1079.0,288.0,-35.158821,149.1163057
Oonoonba,QLD,1.8,0.6,2.893188854489164,20,11.0,1051.0,52.0,-19.296173,146.8204599
Mount Nasura - Mount Richon - Bedfordale,WA,1.8,1.6,0.3359784398862105,22,10.0,1047.0,72.0,-32.1378332,116.0276574
West Hoxton - Middleton Grange,NSW,1.8,1.2,2.496863974911799,22,14.0,1003.0,104.0,-33.9316667,150.8344444
Berserker,QLD,1.7,0.1,0.0242732147897262,17,23.0,866.0,8.0,-23.364875,150.5279477
Menai - Lucas Heights - Woronora,NSW,1.7,0.0,-0.0413245883594,8,7.0,1090.0,68.0,-34.014811,151.0164823
Lavington,NSW,1.7,-0.1,0.0766949444789295,12,43.0,888.0,132.0,-36.0507987,146.9336621
Kingston (ACT),ACT,1.7,1.6,2.769388803287109,21,0.0,1112.0,4.0,-35.3168673,149.149832
Mount Johns,NT,1.7,2.7,0.2938786565547129,16,8.0,1050.0,8.0,-23.7231,133.903
Broken Hill,NSW,1.7,-0.5,-0.1618729096989966,1,5.0,913.0,12.0,-31.965,141.4511111
Castlemaine Surrounds,VIC,1.6,2.1,0.2423300970873786,22,31.0,1021.0,208.0,,
Bellbowrie - Moggill,QLD,1.6,1.6,1.0094356741063328,20,18.0,1090.0,84.0,-27.5625634,152.8865497
Berriedale - Chigwell,TAS,1.6,0.8,0.1319524357499041,19,30.0,926.0,104.0,-42.8037592,147.2523618
Prestons,NSW,1.6,-0.9,0.7666590857402774,18,19.0,995.0,176.0,-33.9409247,150.8748897
Berry - Kangaroo Valley,NSW,1.6,0.3,0.1599901392826328,18,38.0,1048.0,200.0,-34.7802973,150.6966853
Boondall,QLD,1.6,2.5,0.2458817829457364,19,16.0,1022.0,52.0,-27.3501466,153.065654
Kambah,ACT,1.6,-0.2,-0.0838574423480083,7,6.0,1046.0,96.0,-35.3862287,149.0579669
Parkes (ACT) - North,ACT,1.6,12.21800000000003,20.0,3,0.0,0.0,2888.0,-35.2849202,149.0982434
Young,NSW,1.6,0.1,0.1182225845902976,19,28.0,940.0,206.0,-34.3103512,148.2971801
Moyne - West,VIC,1.6,0.7,0.2281798509257032,22,23.0,1040.0,172.0,-38.1862038,142.3722076
Warwick Farm,NSW,1.6,4.0,0.4906875143711198,14,20.0,803.0,16.0,-33.9133304,150.9351023
Waikiki,WA,1.6,1.6,0.1828446389496717,19,20.0,971.0,96.0,-32.3142076,115.7557333
Whyalla,SA,1.6,-0.2,-0.0108616615160879,11,10.0,882.0,132.0,-33.0382085,137.5843572
Reservoir - North West,VIC,1.6,0.2,-0.0897732531235539,8,8.0,964.0,124.0,-34.4577509,150.4297602
Sydenham,VIC,1.5,1.4,0.2170156535881276,18,3.0,983.0,476.0,-33.9147428,151.1661069
Bethania - Waterford,QLD,1.5,0.9,1.5153208710734245,22,7.0,934.0,36.0,-27.697166,153.1554915
Queanbeyan,NSW,1.5,-0.4,0.1704054332167112,18,67.0,1010.0,20.0,-35.3524518,149.2337634
Woy Woy - Blackwall,NSW,1.5,0.8,0.1170376055257099,18,42.0,951.0,124.0,-33.48638,151.324883
Jindalee - Mount Ommaney,QLD,1.5,1.5,0.0340475877481267,12,130.0,1083.0,28.0,-27.5431335,152.9400842
Larrakeyah,NT,1.5,1.6,0.3294972743791641,20,0.0,1090.0,0.0,-12.4585069,130.8216982
Bolton Point - Teralba,NSW,1.5,0.6,0.1502562425035437,12,9.0,963.0,152.0,-33.0025,151.615
Anna Bay,NSW,1.5,1.5,0.364951768488746,21,15.0,1009.0,88.0,-32.7779061,152.0890203
Blacktown - South,NSW,1.5,0.2,0.1435975337324636,17,30.0,959.0,248.0,-33.7926133,150.8659373
Bundoora - East,VIC,1.5,2.1,0.1518389382521651,18,2.0,1024.0,76.0,-37.677931,145.0694906
South Yarra - South,VIC,1.5,0.4,0.3228514156852919,19,4.0,1030.0,40.0,-37.8427951,144.9955526
Cessnock Surrounds,NSW,1.5,2.1,0.5546191763396406,22,34.0,1000.0,260.0,,
Kurrajong Heights - Ebenezer,NSW,1.5,0.3,0.0683268260165698,15,24.0,1062.0,208.0,-33.5236086,150.626953
Bright - Mount Beauty,VIC,1.5,0.5,0.1045364891518737,15,16.0,1046.0,204.0,-36.7285335,146.9607724
Cambridge,TAS,1.5,-0.1,0.3256475520287468,21,34.0,1085.0,56.0,-31.9355532,115.7956337
Evans Head,NSW,1.5,1.9,0.2285180572851805,19,12.0,955.0,108.0,-29.1174093,153.4312097
Clarinda - Oakleigh South,VIC,1.4,0.7,-0.0823703935040599,8,31.0,990.0,140.0,-37.9333369,145.0993198
Ultimo,NSW,1.4,7.8,1.577623813189633,17,1.0,960.0,8.0,-33.8794728,151.1984346
Acton,ACT,1.4,3.4,1.2028206850235057,20,0.0,0.0,0.0,-35.2852323,149.1129681
Glenhaven,NSW,1.4,0.6,0.1003787878787878,15,15.0,1118.0,68.0,-33.7027383,151.0008049
Branyan - Kensington,QLD,1.4,1.9,1.0147918816649466,22,31.0,995.0,144.0,-24.9200252,152.2841095
Ashfield - Kepnock,QLD,1.4,0.4,0.301978021978022,21,28.0,935.0,48.0,-33.8894781,151.1274125
Townsville City - North Ward,QLD,1.4,1.6,0.3693230505569837,17,10.0,1041.0,44.0,-19.2518805,146.8137246
South Yarra - West,VIC,1.4,2.2,0.3063181647235803,17,86.0,1103.0,0.0,-37.8377695,144.9918537
East Side,NT,1.4,1.7,0.0778463648834019,13,4.0,984.0,8.0,-23.6921,133.899
Mawson,ACT,1.4,1.8,0.1747802569303583,18,19.0,1064.0,72.0,-35.3633679,149.0988944
Durack - Marlow Lagoon,NT,1.4,0.4,0.5775193798449613,20,22.0,1077.0,132.0,-27.591662,152.985997
Ravenswood,TAS,1.4,-0.6,-0.0352369380315917,11,4.0,718.0,42.0,-20.2182355,146.9091053
Flinders,VIC,1.4,0.8,0.0437026841018582,14,21.0,1093.0,160.0,-20.862898,144.2526073
Proserpine,QLD,1.4,1.3,0.3384987205004265,20,17.0,985.0,220.0,-20.4018085,148.5832137
East Fremantle,WA,1.4,1.6,0.231879787860931,20,9.0,1082.0,40.0,-32.035363,115.7687804
Parramatta - South,NSW,1.3,3.6,0.7103278436201323,17,2.0,962.0,60.0,-33.8471082,151.0633848
Jandakot,WA,1.3,2.0,0.2374472078836227,11,75.0,1075.0,4.0,-32.1023906,115.8723359
Kelmscott,WA,1.3,1.5,0.1164971075204468,15,17.0,943.0,136.0,-32.1131779,116.0132345
Yass,NSW,1.3,0.1,0.2758749766049036,21,18.0,1018.0,224.0,-34.8418629,148.9110055
Nambucca Heads Surrounds,NSW,1.3,1.6,0.2526064938933571,21,14.0,952.0,204.0,,
Belmont - Gumdale,QLD,1.3,0.9,0.1941380873243692,14,15.0,1077.0,140.0,-27.4949659,153.1298188
