sa2_name,lat,lon
Gungahlin,-35.1788782,149.123653
Pascoe Vale,-37.7308567,144.928195
Balcatta - Hamersley,-31.8709062,115.8198022
Homebush,-33.860451,151.0806118
Belconnen,-35.2274338,149.0431454
Huskisson - Vincentia,-35.0384877,150.670708
Northgate - Northfield,-27.3908162,153.0693526
Strathfieldsaye,-36.8054885,144.3630432
Belmont - Ascot - Redcliffe,-27.5147784,153.1268563
Eagle Farm - Pinkenba,-27.4355287,153.1153372
Upper Caboolture,-27.1162759,152.9014219
Calamvale - Stretton,-27.6109771,153.0498924
Pagewood - Hillsdale - Daceyville,-33.9390664,151.2199363
Brunswick - North,-33.2444233,115.8440942
East Brisbane,-27.483124,153.0464312
Willow Vale - Pimpama (West),-27.8417192,153.2686268
Mannum,-34.9134482,139.3125775
Worongary - Tallai,-28.0531757,153.3280147
Parramatta - North,-33.8083541,151.0140147
Coolum Beach,-26.53284,153.0697206
Lindfield - Roseville,-33.775698,151.1688652
Heidelberg - Rosanna,-37.7470363,145.0579844
Pakenham - North East,-38.0806283,145.4863217
Nedlands - Dalkeith - Crawley,-31.9799209,115.8057167
West Pennant Hills,-33.7478359,151.0350621
Erskineville - Alexandria,-33.9025634,151.1891942
Kilsyth,-37.8037844,145.3134593
Albert Park,-37.8452062,144.957105
Glenroy - East,-34.8539897,138.5381443
Fitzroy North,-37.7833316,144.9837074
Sylvania - Taren Point,-34.0141205,151.0988161
North Coogee,-32.0930018,115.7593892
Lockleys,-34.9250195,138.5309544
Newcastle - Cooks Hill,-32.9294982,151.7728091
Stirling - Osborne Park,-31.9002419,115.811584
Pennant Hills - Cheltenham,-33.7384663,151.0716639
Whitlam,-35.2780956,149.0363976
Miami,-28.069175,153.4350824
South Melbourne,-37.83344,144.9570533
Liverpool - West,-33.92124,150.831328
Nelson Bay Peninsula,-35.240191,136.9793891
Campbelltown - Woodbine,-34.0476695,150.8284862
Rhodes,-33.8290589,151.0873578
Dakabin,-27.2275114,152.9845805
Dalyellup,-33.410681,115.6131353
Daylesford,-37.3414775,144.1465866
Blacktown (East) - Kings Park,-33.7401885,150.8648355
Mount Gravatt,-27.5386205,153.072934
Granville - Clyde,-33.8533341,151.0117222
Geelong,-38.1493248,144.3598241
Goodwood - Millswood,-34.9559093,138.5838117
Hurstville - Central,-33.9673964,151.1025768
Port Melbourne,-37.8333613,144.9219203
Paralowie,-34.7570514,138.6081109
Point Cook - South,-37.9312312,144.7543721
Waterford West,-27.6910154,153.125553
Casula,-33.9522222,150.8952778
Brighton (SA),-35.0210817,138.5229821
South Morang - South,-37.649244,145.067245
Tamworth - West,-31.0923006,150.9196728
Holsworthy - Wattle Grove,-33.9597307,150.9502719
St Albans - North,-37.76772,144.8176194
Lurnea - Cartwright,-33.9358333,150.8972222
Maribyrnong,-37.7695144,144.8902049
Richmond (South) - Cremorne,-33.8242891,151.2296362
Rowville - Central,-37.9239267,145.2447672
Kialla,-36.445075,145.4064578
Swansea - Caves Beach,-33.1034838,151.6402053
Unley - Parkside,-34.9506574,138.6253274
Sunshine Beach,-26.4051292,153.1117838
Narre Warren - South West,-38.0275167,145.3037408
Clayton - Central,-41.1626994,146.2322463
Para Hills,-34.8117394,138.6556036
Castle Hill - Central,-33.7317524,151.0069279
St Agnes - Ridgehaven,-34.824665,138.7090736
Glen Iris - East,-37.855814,145.0646117
Bowen,-20.012125,148.2462901
Kangaroo Flat - Golden Square,-36.806233,144.2407867
West End,-27.4832994,153.0075017
Crows Nest - Waverton,-33.8345848,151.2008593
Cannon Hill,-27.472393,153.0927423
West Wallsend - Barnsley - Killingworth,-32.9032721,151.5818517
St Ives,-33.7292063,151.159396
Ipswich - East,-27.6064915,152.7760411
Margate - Woody Point,-27.2455338,153.1114858
Murarrie,-27.44912,153.1060534
Beachmere - Sandstone Point,-27.1303586,153.0520041
Victoria Park - Lathlain - Burswood,-37.799123,144.99443
Sydenham - Tempe - St Peters,-33.9147428,151.1661069
Nunawading,-37.820503,145.1751332
Strathmore,-17.442097,142.5765522
Watson,-35.2348235,149.1594458
Raceview,-27.6360785,152.7773823
Shellharbour - Oak Flats,-34.5651299,150.8191239
Ormiston,-27.5070155,153.259893
Drummoyne - Rodd Point,-33.8520678,151.153689
Surrey Hills (West) - Canterbury,-37.8271881,145.0978326
Glenroy - West,-37.7059763,144.9086853
Darra - Sumner,-27.568054,152.9542605
Mosman Park - Peppermint Grove,-32.0046186,115.7597718
Kingscliff - Fingal Head,-28.2566667,153.5761111
Cranbourne North - East,-38.1177554,145.3194587
Yass Surrounds,,
Wooloowin - Lutwyche,-27.416809,153.036587
Asquith - Mount Colah,-33.6826776,151.1159283
Labrador,-27.9427642,153.3987125
Oatlands - Dundas Valley,-42.3018682,147.3728654
Walkerville,-34.8944851,138.6118707
Cloverdale,-31.9624358,115.9447482
Ringwood,-37.8158726,145.2291113
Kingsbury,-37.715569,145.0355601
Wolli Creek,-33.9285225,151.1539888
Frenchs Forest - Oxford Falls,-33.7479954,151.2292718
McKail - Willyung,-34.9918242,117.8444264
Eagleby,-27.7030065,153.2181428
Doncaster East - North,-37.7934078,145.064092
Putney,-33.826067,151.1064224
Korora - Emerald Beach,-30.2584535,153.1340791
Wantirna,-37.8523357,145.2259721
Glendale - Cardiff - Hillsborough,-23.242033,150.4568404
Flemington,-37.7867587,144.9193668
Yeronga,-27.5133345,153.0117745
Tweed Heads,-28.1786639,153.5369986
Grafton,-29.69125,152.9333435
Raymond Terrace,-32.7610569,151.7462299
Taigum - Fitzgibbon,-27.3361653,153.0429009
Albany Creek,-27.353639,152.9684713
Cape York,-10.6871474,142.5315554
Sunshine North,-37.7639467,144.8361969
Sunnybank Hills,-27.5991376,153.0486182
Coburg - East,-27.5325749,153.2744424
Abbotsford,-37.8045508,144.9988542
Redhead,-33.0111111,151.7077778
Robina - East,-28.0705635,153.3916396
Fremantle - South,-32.0737266,115.7589856
Bayswater,-31.909036,115.9039135
Thomastown,-37.6832672,145.0081104
Pascoe Vale South,-37.7434265,144.9384767
Ashwood - Chadstone,-37.866672,145.1022346
Niddrie - Essendon West,-37.7294529,144.8768285
Newtown (Vic.),-38.1469741,144.3430871
Coffs Harbour - South,-30.3178121,153.0858034
Sorrento - Marmion,-31.8292783,115.745412
Terrigal - North Avoca,-33.4483315,151.4427717
Airport West,-37.7222576,144.8834942
South Morang - North,-37.649244,145.067245
Inala - Richlands,-27.5800151,152.9641097
Mundijong,-32.2958316,115.9851981
Boyne Island - Tannum Sands,-23.951343,151.3693572
Ingleburn,-33.9983333,150.8511111
Wurtulla - Birtinya,-26.755654,153.1280208
Burwood (Vic.),-37.8494416,145.1199206
Merewether - The Junction,-32.9370537,151.7593876
Bundaberg East - Kalkie,-24.8534048,152.3840597
Footscray,-37.7981339,144.897345
Lowood,-27.4684925,152.5652517
East Bendigo - Kennington,-36.765198,144.2909243
Chirnside Park,-37.9047634,144.6530424
Ashcroft - Busby - Miller,-33.915,150.9011111
Thornbury,-37.7549944,144.9985944
Riverview,-33.823207,151.1600134
Coolangatta,-28.1703323,153.5304637
Maddington - Orange Grove - Martin,-32.0493729,115.982936
Avondale Heights,-37.7614537,144.862141
Mitcham (Vic.),-37.8193282,145.2137064
Sandringham - Black Rock,-37.9621131,145.0188197
South Hurstville - Blakehurst,-33.9811753,151.1084088
Kangaroo Point,-27.473864,153.0367847
Innaloo - Doubleview,-31.8937756,115.7957972
Cabramatta - Lansvale,-33.9026963,150.9476103
Liverpool - East,-37.9201147,145.0693806
Keilor Downs,-37.7205762,144.8047614
Northmead,-33.7844423,150.9983289
Minto - St Andrews,-34.0316667,150.8511111
Pakenham - South East,-38.0806283,145.4863217
Sans Souci - Ramsgate,-33.9842629,151.1373381
Atherton,-17.2667108,145.4768923
Phillip,-35.3470436,149.091009
Mount Eliza,-38.1837857,145.0892865
Denham Court - Bardia,-33.9813889,150.8294444
Karrinyup - Gwelup - Carine,-31.8705761,115.7787989
Brunswick Heads - Ocean Shores,-28.5433279,153.5402432
Woonona - Bulli - Russell Vale,-34.3455556,150.9041667
Engadine,-34.0650134,151.0138225
Chelsea - Bonbeach,-38.0623061,145.1268484
Como,-34.0032179,151.0631257
Hamilton Hill,-32.0845215,115.7794833
Mulgrave,-37.9261741,145.1723107
Mudgeeraba - Bonogin,-28.1423755,153.3203015
Ballina,-28.8526847,153.4906247
Northcote - East,-34.8984122,138.6093546
Sydney (South) - Haymarket,-33.879335,151.2052514
North Lakes,-27.2381221,153.017699
Darling Heights,-27.5959638,151.9319469
Highett (West) - Cheltenham,-37.9484438,145.04188
Ormond - Glen Huntly,-37.8978381,145.0445142
Shellharbour - Flinders,-34.5896051,150.8512467
Melbourne CBD - West,-37.8363839,144.9766624
Echuca,-36.1281405,144.7516955
Laverton,-27.9396502,125.4448928
Mandurah,-32.5302495,115.7208782
Coorparoo,-27.4962028,153.0595973
Quakers Hill,-33.7344444,150.8788889
Trinity Beach - Smithfield,-16.789067,145.700349
Mitcham (SA),-35.0200132,138.6159122
McLaren Vale,-35.2172617,138.5416998
