sa2_code,sa2_name,state,sa4_name,erp_change_pct,years_of_growth,growth_20yr,dwellings_2526_fytd,high_pressure,urban_renewal_score,pressure_score,national_rank,signal
107041549,Wollongong - West,NSW,Illawarra,1.9,17,0.1702859455084974,9.0,0,0.2654819399487482,39.5,697,Moderate
108011151,Bulahdelah - Stroud,NSW,Mid North Coast,0.6,16,0.2564042850489054,12.0,0,0.03927206646695421,20.4,1753,Moderate
108011152,Forster,NSW,Mid North Coast,1.1,18,0.1436905127417869,29.0,1,0.29924887239271875,49.2,446,Moderate
108011153,Forster-Tuncurry Surrounds,NSW,Mid North Coast,1.3,22,0.4585858585858586,17.0,0,0.07304477050801485,30.2,1109,Moderate
108011154,Tuncurry,NSW,Mid North Coast,-0.6,15,0.0813594232749742,5.0,0,0.04628749253761947,15.2,2027,Moderate
108021155,Kempsey,NSW,Mid North Coast,0.6,22,0.1832495079816313,11.0,0,0.0882068608530566,30.1,1118,Moderate
108021156,Kempsey Surrounds,NSW,Mid North Coast,0.4,10,0.0273165506159614,12.0,0,0.02843486640739199,14.3,2064,Moderate
108021157,Macksville - Scotts Head,NSW,Mid North Coast,0.4,18,0.1624431448992852,11.0,0,0.07540536655697376,22.7,1605,Moderate
108021158,Nambucca Heads,NSW,Mid North Coast,0.8,17,0.076739325171693,26.0,0,0.07000399340500485,22.6,1607,Moderate
108021159,Nambucca Heads Surrounds,NSW,Mid North Coast,1.6,21,0.2526064938933571,14.0,0,0.07170550539099607,29.9,1132,Moderate
108021160,South West Rocks,NSW,Mid North Coast,2.3,21,0.4321789321789321,15.0,1,0.19422045444120234,42.2,619,Moderate
108031161,Lord Howe Island,NSW,Mid North Coast,-0.9,17,0.2335164835164835,0.0,0,0.0011547005383792518,13.7,2092,Moderate
108041162,Laurieton - Bonny Hills,NSW,Mid North Coast,2.5,22,0.413347841857091,64.0,1,0.5135682224537595,63.6,251,Moderate
108041164,Port Macquarie - West,NSW,Mid North Coast,3.0,22,0.8922417280155327,165.0,1,0.6878575002965827,87.5,103,High
108041165,Port Macquarie Surrounds,NSW,Mid North Coast,-0.2,8,0.0099142040038131,14.0,0,0.04965220722923315,11.9,2165,Moderate
108041166,Wauchope,NSW,Mid North Coast,1.2,22,0.5579081337498554,24.0,0,0.14665334611069597,35.4,850,Moderate
108041619,Port Macquarie - East,NSW,Mid North Coast,-0.5,17,0.118655303030303,9.0,0,0.07704001493309695,19.5,1796,Moderate
108041620,Port Macquarie - South,NSW,Mid North Coast,0.4,20,0.2222455550888982,18.0,0,0.06468676031592338,25.0,1464,Moderate
108051167,Gloucester,NSW,Mid North Coast,0.4,18,0.0977705052157905,7.0,0,0.030036721495784523,20.6,1734,Moderate
108051168,Old Bar - Manning Point - Red Head,NSW,Mid North Coast,1.5,22,0.7144526684846124,61.0,1,0.18428737575862414,45.9,524,Moderate
108051169,Taree,NSW,Mid North Coast,0.4,17,0.050473340854466,58.0,0,0.10371620362539123,26.9,1335,Moderate
108051170,Taree Surrounds,NSW,Mid North Coast,1.0,22,0.2359261640187345,16.0,0,0.13761871587533803,34.6,888,Moderate
108051171,Wingham,NSW,Mid North Coast,-0.4,9,-0.0298346513299784,7.0,0,0.014412056749566231,9.7,2243,Moderate
109011172,Albury - East,NSW,Murray,4.3,22,1.0307101727447217,106.0,1,0.2825245341839823,60.9,276,Moderate
109011173,Albury - North,NSW,Murray,0.7,20,0.1529514077617132,32.0,0,0.0673635521156657,27.3,1315,Moderate
109011174,Albury - South,NSW,Murray,-1.4,5,-0.0608591885441527,13.0,0,0.13565327442354225,11.3,2191,Moderate
109011175,Albury Surrounds,NSW,Murray,1.6,19,0.1835631251689645,53.0,0,0.11940272013983917,33.8,920,Moderate
109011176,Lavington,NSW,Murray,-0.1,12,0.0766949444789295,43.0,0,0.08130154769234342,19.1,1823,Moderate
109021177,Hay,NSW,Murray,1.1,1,-0.2043634355150511,3.0,0,0.011812417977731257,7.2,2308,Moderate
109021178,Wentworth - Buronga,NSW,Murray,1.2,16,0.0964401294498382,29.0,0,0.11942803511789882,26.7,1355,Moderate
109021179,Wentworth-Balranald Region,NSW,Murray,0.8,4,-0.1490050902360018,3.0,0,0.01902412795831547,9.4,2252,Moderate
109031180,Corowa,NSW,Murray,-0.1,9,-0.0078711985688729,8.0,0,0.01228125,10.8,2211,Moderate
109031181,Corowa Surrounds,NSW,Murray,1.6,21,0.1881626839689824,15.0,0,0.05733472999500361,30.2,1114,Moderate
109031182,Deniliquin,NSW,Murray,0.1,8,-0.1467279545179629,16.0,0,0.04010526315789473,12.3,2147,Moderate
109031183,Deniliquin Surrounds,NSW,Murray,0.5,4,-0.1607642691980041,8.0,0,0.03350145724696332,9.1,2265,Moderate
109031184,Moama,NSW,Murray,2.7,22,0.9006755066299725,87.0,1,0.22334804112111525,48.6,463,Moderate
109031185,Tocumwal - Finley - Jerilderie,NSW,Murray,0.2,14,0.0217661691542288,34.0,0,0.061140723571859346,20.0,1771,Moderate
110011186,Armidale,NSW,New England and North West,0.1,17,0.0616891597736177,59.0,1,0.7519237130382262,70.4,202,Moderate
110011187,Armidale Surrounds - North,NSW,New England and North West,1.2,16,0.0859210833527901,6.0,0,0.016785185185185184,20.5,1744,Moderate
110011188,Armidale Surrounds - South,NSW,New England and North West,0.6,9,-0.0099354197714853,3.0,0,0.025521749967756305,13.4,2106,Moderate
110011189,Walcha,NSW,New England and North West,0.9,5,-0.0908827785817655,1.0,0,0.008603926384795636,9.5,2250,Moderate
110021190,Glen Innes,NSW,New England and North West,-0.1,15,0.0181426465585667,4.0,0,0.04837745159333473,18.0,1881,Moderate
110021191,Inverell,NSW,New England and North West,0.1,20,0.1156536749341328,12.0,0,0.08240827933360648,22.8,1595,Moderate
110021192,Inverell Surrounds - East,NSW,New England and North West,-0.2,7,0.0022979701263883,7.0,0,0.03331718568721138,10.0,2235,Moderate
110021193,Inverell Surrounds - West,NSW,New England and North West,-0.1,9,-0.0818937939859245,10.0,0,0.045017703771603086,11.0,2202,Moderate
