sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
603031074,Triabunna - Bicheno,TAS,South East,2.878466078611454,1223,0,0.010603851009305092,2.84794325317852,1230,urban_renewal_score: -2.101 | total_dwellings_2024-25: -2.008 | erp_change_pct: -1.542,70,0.0
112011236,Ballina,NSW,Richmond - Tweed,2.8706428053698967,1229,0,0.008724446770202125,2.8455980350181833,1231,urban_renewal_score: -2.154 | erp_change_pct: -1.775 | peak_year_approvals: -1.087,52,18.2
506041137,Thornlie,WA,Perth - South East,2.8526068033564207,1242,0,0.003274211936691389,2.843266764110184,1232,urban_renewal_score: -1.911 | total_dwellings_2024-25: -1.806 | peak_year_approvals: -1.019,18,36.6
116031316,Lethbridge Park - Tregear,NSW,Sydney - Blacktown,2.872581314857795,1227,0,0.0102204143831042,2.8432223434707864,1233,urban_renewal_score: -1.929 | total_dwellings_2024-25: -1.918 | peak_year_approvals: -0.994,35,25.0
316021581,Meridan Plains - Little Mountain (North),QLD,Sunshine Coast,2.883558876568433,1221,0,0.014052131214282348,2.8430387288707846,1234,total_dwellings_2024-25: -2.474 | erp_change_pct: -1.569 | lot_approvals_2yr: -1.313,21,35.3
309071556,Upper Coomera (South) - Wongawallan,QLD,Gold Coast,2.863275611342206,1237,0,0.007823345934423425,2.840875215729078,1235,total_dwellings_2024-25: -2.190 | urban_renewal_score: -2.059 | lot_approvals_2yr: -1.137,9,40.7
216031415,Mooroopna,VIC,Shepparton,2.8673187471849366,1232,0,0.009411207641388537,2.840333815081133,1236,total_dwellings_2024-25: -1.942 | urban_renewal_score: -1.853 | lot_approvals_2yr: -1.076,65,20.0
205031087,Foster,VIC,Latrobe - Gippsland,2.8657362210230923,1233,0,0.009965659022770482,2.8371772709951735,1237,urban_renewal_score: -2.178 | total_dwellings_2024-25: -1.955 | erp_change_pct: -1.260,53,16.7
403031068,Colonel Light Gardens,SA,Adelaide - South,2.8630475314746526,1238,0,0.009163835904465656,2.8368110337095334,1238,urban_renewal_score: -2.023 | total_dwellings_2024-25: -1.645 | erp_change_pct: -1.446,47,22.9
206021500,Northcote - West,VIC,Melbourne - Inner,2.8542418709742927,1241,0,0.0063869223095227665,2.836012049891793,1239,total_dwellings_2024-25: -2.141 | urban_renewal_score: -2.022 | lot_approvals_2yr: -1.072,4,49.1
401051019,St Peters - Marden,SA,Adelaide - Central and Hills,2.8746306811159386,1224,0,0.014017062170038617,2.834336804142836,1240,total_dwellings_2024-25: -2.324 | erp_change_pct: -1.426 | lot_approvals_2yr: -1.406,13,39.1
